DAY_OF_WEEK,AIRLINE,MONTH,DAY,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,AIR_TIME,DISTANCE,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,CANCELLED,CANCELLATION_REASON
1,AA,3221,3221,3221,3221,3221,3221,3221,3208,3221,3221,3220,3208,3221,0
1,AS,761,761,761,761,761,761,761,758,761,761,760,758,761,0
1,B6,1129,1129,1129,1129,1129,1129,1129,1121,1129,1129,1128,1121,1129,0
1,DL,4212,4212,4212,4212,4212,4212,4212,4201,4212,4212,4212,4201,4212,0
1,EV,2590,2590,2590,2590,2590,2590,2590,2577,2590,2590,2589,2577,2590,0
1,F9,431,431,431,431,431,431,431,430,431,431,431,430,431,0
1,HA,321,321,321,321,321,321,321,320,321,321,321,320,321,0
1,MQ,1254,1254,1254,1254,1254,1254,1254,1246,1254,1254,1251,1246,1254,0
1,NK,524,524,524,524,524,524,524,523,524,524,523,523,524,0
1,OO,2686,2686,2686,2686,2686,2686,2686,2676,2686,2686,2684,2676,2686,0
1,UA,2396,2396,2396,2396,2396,2396,2396,2389,2396,2396,2395,2389,2396,0
1,US,820,820,820,820,820,820,820,819,820,820,820,819,820,0
1,VX,286,286,286,286,286,286,286,284,286,286,286,284,286,0
1,WN,5795,5795,5795,5795,5795,5795,5795,5776,5795,5795,5790,5776,5795,0
2,AA,3127,3127,3127,3127,3127,3127,3127,3118,3127,3127,3127,3118,3127,0
2,AS,733,733,733,733,733,733,733,729,733,733,732,729,733,0
2,B6,1162,1162,1162,1162,1162,1162,1162,1159,1162,1162,1161,1159,1162,0
2,DL,3971,3971,3971,3971,3971,3971,3971,3960,3971,3971,3971,3960,3971,0
2,EV,2586,2586,2586,2586,2586,2586,2586,2577,2586,2586,2584,2577,2586,0
2,F9,422,422,422,422,422,422,422,422,422,422,422,422,422,0
2,HA,325,325,325,325,325,325,325,325,325,325,325,325,325,0
2,MQ,1280,1280,1280,1280,1280,1280,1280,1277,1280,1280,1279,1277,1280,0
2,NK,502,502,502,502,502,502,502,501,502,502,502,501,502,0
2,OO,2584,2584,2584,2584,2584,2584,2584,2581,2584,2584,2582,2581,2584,0
2,UA,2324,2324,2324,2324,2324,2324,2324,2319,2324,2324,2323,2319,2324,0
2,US,811,811,811,811,811,811,811,808,811,811,811,808,811,0
2,VX,258,258,258,258,258,258,258,258,258,258,258,258,258,0
2,WN,5809,5809,5809,5809,5809,5809,5809,5794,5809,5809,5808,5794,5809,0
3,AA,3356,3356,3356,3356,3356,3356,3356,3346,3356,3356,3356,3346,3356,0
3,AS,805,805,805,805,805,805,805,804,805,805,805,804,805,0
3,B6,1116,1116,1116,1116,1116,1116,1116,1112,1116,1116,1115,1112,1116,0
3,DL,3992,3992,3992,3992,3992,3992,3992,3984,3992,3992,3992,3984,3992,0
3,EV,2625,2625,2625,2625,2625,2625,2625,2606,2625,2625,2622,2606,2625,0
3,F9,361,361,361,361,361,361,361,361,361,361,361,361,361,0
3,HA,348,348,348,348,348,348,348,348,348,348,348,348,348,0
3,MQ,1262,1262,1262,1262,1262,1262,1262,1261,1262,1262,1262,1261,1262,0
3,NK,511,511,511,511,511,511,511,509,511,511,511,509,511,0
3,OO,2645,2645,2645,2645,2645,2645,2645,2635,2645,2645,2644,2635,2645,0
3,UA,2352,2352,2352,2352,2352,2352,2352,2345,2352,2352,2351,2345,2352,0
3,US,937,937,937,937,937,937,937,936,937,937,937,936,937,0
3,VX,267,267,267,267,267,267,267,267,267,267,267,267,267,0
3,WN,5847,5847,5847,5847,5847,5847,5847,5836,5847,5847,5841,5836,5847,0
4,AA,3317,3317,3317,3317,3317,3317,3317,3308,3317,3317,3317,3308,3317,0
4,AS,838,838,838,838,838,838,838,835,838,838,838,835,838,0
4,B6,1213,1213,1213,1213,1213,1213,1213,1211,1213,1213,1212,1211,1213,0
4,DL,4111,4111,4111,4111,4111,4111,4111,4104,4111,4111,4110,4104,4111,0
4,EV,2654,2654,2654,2654,2654,2654,2654,2642,2654,2654,2651,2642,2654,0
4,F9,449,449,449,449,449,449,449,446,449,449,449,446,449,0
4,HA,326,326,326,326,326,326,326,326,326,326,326,326,326,0
4,MQ,1276,1276,1276,1276,1276,1276,1276,1274,1276,1276,1276,1274,1276,0
4,NK,507,507,507,507,507,507,507,507,507,507,507,507,507,0
4,OO,2654,2654,2654,2654,2654,2654,2654,2649,2654,2654,2651,2649,2654,0
4,UA,2521,2521,2521,2521,2521,2521,2521,2514,2521,2521,2519,2514,2521,0
4,US,912,912,912,912,912,912,912,911,912,912,912,911,912,0
4,VX,311,311,311,311,311,311,311,310,311,311,311,310,311,0
4,WN,5803,5803,5803,5803,5803,5803,5803,5790,5803,5803,5799,5790,5803,0
5,AA,3333,3333,3333,3333,3333,3333,3333,3324,3333,3333,3333,3324,3333,0
5,AS,804,804,804,804,804,804,804,804,804,804,804,804,804,0
5,B6,1183,1183,1183,1183,1183,1183,1183,1182,1183,1183,1183,1182,1183,0
5,DL,4033,4033,4033,4033,4033,4033,4033,4022,4033,4033,4032,4022,4033,0
5,EV,2658,2658,2658,2658,2658,2658,2658,2648,2658,2658,2657,2648,2658,0
5,F9,429,429,429,429,429,429,429,427,429,429,429,427,429,0
5,HA,381,381,381,381,381,381,381,381,381,381,381,381,381,0
5,MQ,1352,1352,1352,1352,1352,1352,1352,1348,1352,1352,1351,1348,1352,0
5,NK,515,515,515,515,515,515,515,515,515,515,515,515,515,0
5,OO,2648,2648,2648,2648,2648,2648,2648,2640,2648,2648,2646,2640,2648,0
5,UA,2359,2359,2359,2359,2359,2359,2359,2355,2359,2359,2358,2355,2359,0
5,US,949,949,949,949,949,949,949,948,949,949,949,948,949,0
5,VX,276,276,276,276,276,276,276,275,276,276,276,275,276,0
5,WN,5764,5764,5764,5764,5764,5764,5764,5753,5764,5764,5764,5753,5764,0
6,AA,2825,2825,2825,2825,2825,2825,2825,2815,2825,2825,2823,2815,2825,0
6,AS,707,707,707,707,707,707,707,705,707,707,705,705,707,0
6,B6,1073,1073,1073,1073,1073,1073,1073,1072,1073,1073,1073,1072,1073,0
6,DL,3109,3109,3109,3109,3109,3109,3109,3103,3109,3109,3108,3103,3109,0
6,EV,1923,1923,1923,1923,1923,1923,1923,1918,1923,1923,1922,1918,1923,0
6,F9,396,396,396,396,396,396,396,395,396,396,396,395,396,0
6,HA,313,313,313,313,313,313,313,313,313,313,313,313,313,0
6,MQ,1060,1060,1060,1060,1060,1060,1060,1058,1060,1060,1060,1058,1060,0
6,NK,469,469,469,469,469,469,469,469,469,469,469,469,469,0
6,OO,2212,2212,2212,2212,2212,2212,2212,2209,2212,2212,2212,2209,2212,0
6,UA,1852,1852,1852,1852,1852,1852,1852,1844,1852,1852,1851,1844,1852,0
6,US,767,767,767,767,767,767,767,763,767,767,767,763,767,0
6,VX,199,199,199,199,199,199,199,197,199,199,198,197,199,0
6,WN,4699,4699,4699,4699,4699,4699,4699,4689,4699,4699,4699,4689,4699,0
7,AA,3091,3091,3091,3091,3091,3091,3091,3083,3091,3091,3090,3083,3091,0
7,AS,770,770,770,770,770,770,770,765,770,770,767,765,770,0
7,B6,1233,1233,1233,1233,1233,1233,1233,1229,1233,1233,1233,1229,1233,0
7,DL,3908,3908,3908,3908,3908,3908,3908,3903,3908,3908,3908,3903,3908,0
7,EV,2477,2477,2477,2477,2477,2477,2477,2472,2477,2477,2476,2472,2477,0
7,F9,421,421,421,421,421,421,421,419,421,421,421,419,421,0
7,HA,363,363,363,363,363,363,363,362,363,363,363,362,363,0
7,MQ,1183,1183,1183,1183,1183,1183,1183,1183,1183,1183,1183,1183,1183,0
7,NK,511,511,511,511,511,511,511,511,511,511,511,511,511,0
7,OO,2575,2575,2575,2575,2575,2575,2575,2569,2575,2575,2574,2569,2575,0
7,UA,2152,2152,2152,2152,2152,2152,2152,2146,2152,2152,2152,2146,2152,0
7,US,863,863,863,863,863,863,863,862,863,863,863,862,863,0
7,VX,245,245,245,245,245,245,245,243,245,245,245,243,245,0
7,WN,5370,5370,5370,5370,5370,5370,5370,5355,5370,5370,5366,5355,5370,0
